,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_Temp,Wind_Speed
273,Guerrero Negro,0,MX,1554601652,80,27.97,-114.04,61.77,12.55
274,La Ronge,90,CA,1554598800,55,55.1,-105.3,37.4,16.11
275,Khammam,0,IN,1554601653,63,17.25,80.15,82.92,6.29
276,Cairns,90,AU,1554601577,69,-16.92,145.77,82.4,13.87
277,Laguna,20,MX,1554597600,31,27.52,-110.01,77.0,6.93
278,Andes,48,CO,1554601524,99,5.66,-75.88,57.0,1.36
279,Vanderhoof,32,CA,1554601653,48,54.02,-124.02,42.6,7.4
280,Campos Belos,64,BR,1554601654,93,-13.04,-46.77,72.48,2.15
281,Kieta,80,PG,1554601654,95,-6.22,155.63,82.92,5.5
282,Arco,40,IT,1554601626,93,45.92,10.89,51.01,1.12
283,Luau,32,CD,1554601654,88,-10.7,22.23,69.33,3.6
284,Sioux Lookout,20,CA,1554598800,44,50.1,-91.92,41.0,3.36
285,Wamba,48,CD,1554601654,96,2.14,27.99,68.88,2.15
286,Ciawi,0,ID,1554601655,100,-6.7,108.44,84.36,1.7
287,Ketou,36,BJ,1554601655,92,7.36,2.6,78.42,7.96
288,Ekibastuz,12,KZ,1554601655,66,51.72,75.32,40.26,8.97
289,Charters Towers,20,AU,1554601655,75,-20.07,146.27,79.05,10.87
290,Bambous Virieux,75,MU,1554601440,69,-20.34,57.76,80.6,11.41
291,Dakar,8,SN,1554597000,56,14.69,-17.45,69.8,20.8
292,Salalah,20,OM,1554598200,78,17.01,54.1,77.0,5.82
293,Bandarbeyla,0,SO,1554601656,100,9.49,50.81,79.32,2.82
294,Dolores,68,UY,1554601656,86,-33.53,-58.22,54.93,2.93
295,Saint George,75,GR,1554598200,93,39.45,22.34,51.8,2.37
296,Chulman,64,RU,1554601657,56,56.84,124.9,29.28,8.97
297,Forest Grove,90,US,1554601479,81,45.52,-123.11,54.0,9.17
298,Mackay,40,CA,1554598800,45,53.65,-115.58,48.2,9.17
299,Vila Velha,75,BR,1554601093,78,-3.71,-38.6,81.0,3.36
300,Matara,12,PE,1554601658,92,-13.74,-72.9,37.65,1.92
301,Carauari,36,BR,1554601658,93,-4.88,-66.9,76.89,6.06
302,Touros,40,BR,1554598800,94,-5.2,-35.46,78.8,2.71
303,Pochutla,20,MX,1554601586,58,15.74,-96.47,84.2,11.41
304,Springfield,1,US,1554601449,63,37.22,-93.29,66.99,21.92
305,Buraydah,20,SA,1554598800,68,26.33,43.97,69.8,8.05
306,Brownwood,1,US,1554601580,77,31.71,-98.99,69.8,4.7
307,Conceicao do Araguaia,64,BR,1554601457,85,-8.26,-49.26,77.16,4.83
308,Kushiro,40,JP,1554598800,42,43.11,144.15,48.2,11.41
309,Cubuk,75,TR,1554601383,70,40.24,33.03,51.01,2.48
310,Romitan,0,UZ,1554598800,82,39.93,64.38,55.4,11.41
311,Ust-Nera,8,RU,1554601661,83,64.57,143.24,29.37,2.71
312,Lengshuitan,0,CN,1554601661,94,26.41,111.6,74.55,5.73
313,Madang,92,PG,1554601661,100,-5.21,145.81,77.52,2.15
314,Mikuni,75,JP,1554598800,54,36.22,136.15,53.6,4.7
315,Veraval,48,FR,1554601598,81,49.65,0.71,48.2,4.7
316,East London,64,ZA,1554601661,100,-33.02,27.91,69.33,15.68
317,Muromtsevo,0,RU,1554601662,81,56.37,75.24,25.32,4.5
318,Padang,40,ID,1554598800,83,-0.92,100.36,82.4,2.24
319,Hays,1,US,1554601545,77,38.88,-99.33,60.8,11.41
320,Lorengau,48,PG,1554601662,92,-2.02,147.27,85.53,7.18
321,Guarapari,20,BR,1554600854,83,-20.67,-40.5,80.6,5.82
322,Urdoma,8,RU,1554601663,98,61.74,48.55,29.19,5.61
323,Isangel,40,VU,1554598800,58,-19.55,169.27,82.4,14.99
324,Lagos,20,NG,1554598800,89,6.46,3.39,84.2,8.05
325,Te Anau,0,NZ,1554601663,42,-45.41,167.72,58.35,3.6
326,Tiksi,0,RU,1554601663,72,71.64,128.87,30.72,6.96
327,Havre-Saint-Pierre,40,CA,1554598800,92,50.23,-63.6,26.6,6.93
328,Jaunpur,75,IN,1554598800,57,25.75,82.69,75.2,2.24
329,Kahului,20,US,1554601467,48,20.89,-156.47,84.2,12.75
330,Narsaq,20,GL,1554598200,80,60.91,-46.05,33.8,2.24
331,Nantucket,1,US,1554601346,93,41.28,-70.1,48.2,6.93
332,Puerto Quijarro,8,BO,1554601664,85,-19.0,-57.72,68.16,6.17
333,Podgornoye,64,RU,1554601665,73,57.79,82.64,27.66,7.96
334,Jaguarao,76,BR,1554601665,89,-32.57,-53.38,63.48,4.38
335,Tautira,20,PF,1554600600,59,-17.73,-149.15,91.4,4.7
336,West Wendover,1,US,1554598560,25,40.74,-114.07,60.8,9.17
337,Uthal,0,PK,1554601665,45,25.81,66.62,76.98,2.59
338,Asyut,0,EG,1554598800,47,27.18,31.19,57.2,12.75
339,Yangambi,8,CD,1554601665,99,0.77,24.47,73.38,2.37
340,Namatanai,44,PG,1554601666,100,-3.66,152.44,83.37,2.93
341,Shahdadkot,0,PK,1554601666,32,27.85,67.91,86.52,4.94
342,Cooma,0,AU,1554598800,28,-36.24,149.13,69.8,10.29
343,Pechenga,80,RU,1554601666,95,58.89,41.46,31.8,3.6
344,Seymchan,44,RU,1554601666,86,62.93,152.39,30.54,7.4
345,North Bend,90,US,1554601617,93,43.41,-124.22,55.0,10.29
346,Yangcun,0,CN,1554601667,71,29.98,118.17,73.11,3.27
347,Husavik,80,CA,1554601203,72,50.56,-96.99,39.0,7.0
348,Edd,0,ER,1554601667,93,13.93,41.69,68.88,2.48
349,Gamba,68,CN,1554601667,91,28.28,88.52,22.35,2.71
350,Crossville,1,US,1554601407,63,35.95,-85.03,66.2,3.36
351,Dawson Creek,1,CA,1554598800,75,55.76,-120.23,42.8,8.05
352,Waipawa,92,NZ,1554601216,76,-39.94,176.59,55.99,4.61
353,Shenzhen,0,CN,1554601667,88,22.54,114.05,81.0,6.71
354,Kalvarija,48,LT,1554601669,57,54.41,23.23,41.61,11.99
355,Liberal,1,US,1554601643,55,37.04,-100.92,69.8,12.75
356,Porterville,1,US,1554601338,28,36.07,-119.02,78.8,9.17
357,Mount Gambier,90,AU,1554598800,67,-37.83,140.78,62.6,16.11
358,Tubmanburg,20,LR,1554601670,95,6.87,-10.82,75.99,7.29
359,Xining,0,CN,1554601587,26,36.62,101.77,52.59,3.38
360,Praia da Vitoria,40,PT,1554601556,93,38.73,-27.07,55.99,26.42
361,Jakar,92,BT,1554601670,97,27.55,90.75,34.14,0.92
362,Fort Nelson,90,CA,1554598800,80,58.81,-122.69,30.2,2.48
363,Bar Harbor,20,US,1554601638,65,44.39,-68.2,44.6,6.93
364,Cukai,75,MY,1554598800,94,4.25,103.42,80.6,3.15
365,Port Blair,0,IN,1554601671,100,11.67,92.75,83.64,5.06
366,Leningradskiy,0,RU,1554601671,91,69.38,178.42,7.5,9.86
367,Atambua,0,ID,1554601671,96,-9.11,124.89,82.83,4.16
368,Dvinskoy,0,RU,1554601672,79,62.16,45.12,24.42,2.59
369,Oga,8,NG,1554601672,73,8.18,5.65,80.04,12.21
370,Jinan,0,CN,1554601672,68,36.65,117.11,63.3,4.61
371,Vila,75,IT,1554601643,87,45.18,8.4,52.0,6.93
372,Bejar,64,AL,1554601673,92,40.49,19.83,51.15,3.71
373,Votice,0,CZ,1554601647,91,49.64,14.64,45.0,1.12
374,San Patricio,0,PY,1554601673,81,-26.98,-56.83,64.83,4.72
375,Lingyuan,48,CN,1554601673,59,41.24,119.4,46.02,5.95
376,Lata,8,IN,1554601673,82,30.78,78.62,54.03,1.7
377,Ketchikan,90,US,1554598560,53,55.34,-131.65,53.6,12.75
378,Dingle,36,PH,1554601674,92,11.0,122.67,81.66,8.97
379,Hay River,90,CA,1554598800,50,60.82,-115.79,33.8,9.17
380,Lavras da Mangabeira,75,BR,1554598800,88,-6.75,-38.96,75.2,2.71
381,Lima,40,PE,1554601327,88,-12.06,-77.04,73.0,8.05
382,Ust-Kuyga,12,RU,1554601674,88,70.0,135.55,26.49,4.16
383,San Angelo,1,US,1554601514,40,31.46,-100.44,73.99,3.36
384,Ust-Ilimsk,12,RU,1554601675,44,57.96,102.73,38.46,5.39
385,Deputatskiy,44,RU,1554601675,83,69.3,139.9,24.06,3.94
386,Richards Bay,80,ZA,1554601675,97,-28.77,32.06,62.58,3.94
387,Marsabit,0,KE,1554601675,67,2.34,37.99,72.93,7.4
388,Chabahar,12,IR,1554601675,91,25.29,60.65,78.42,8.75
389,Petropavlovsk-Kamchatskiy,40,RU,1554598800,55,53.05,158.65,39.2,11.18
390,Oktyabrskiy,20,RU,1554601211,100,55.61,37.97,35.01,2.37
391,Indianola,90,US,1554601577,55,40.24,-100.42,66.2,6.93
392,Rafaela,0,AR,1554601262,50,-31.25,-61.49,62.01,1.01
393,Duitama,92,CO,1554601676,96,5.83,-73.03,55.38,2.04
394,Vila Franca do Campo,75,PT,1554601624,87,37.72,-25.43,57.2,16.11
395,Nioro,0,GM,1554601676,29,13.79,-15.05,81.84,12.77
396,Samarai,92,PG,1554601677,100,-10.62,150.67,78.33,2.59
397,Warkworth,24,NZ,1554601384,59,-36.4,174.66,69.01,17.22
398,Bani Walid,56,LY,1554601677,80,31.76,14.0,53.31,2.59
399,Lhokseumawe,32,ID,1554601677,93,5.18,97.15,86.07,2.26
400,Comodoro Rivadavia,0,AR,1554598800,37,-45.87,-67.48,66.2,9.17
401,Oriximina,32,BR,1554601677,84,-1.77,-55.87,80.22,3.38
402,Camacha,40,PT,1554600600,82,33.08,-16.33,60.8,9.17
403,Eirunepe,92,BR,1554601678,97,-6.66,-69.87,75.0,3.38
404,Liling,0,CN,1554598800,60,27.65,113.49,73.4,8.95
405,Sorland,68,NO,1554601678,100,67.67,12.69,36.75,26.31
406,Karratha,0,AU,1554601678,12,-20.74,116.85,102.36,11.1
407,Platteville,1,US,1554601574,77,42.73,-90.48,64.4,8.05
408,Kiboga,68,UG,1554601679,95,0.92,31.77,64.02,5.95
409,Margaride,88,ES,1554601567,87,42.48,-7.34,39.0,1.01
410,Rio Gallegos,0,AR,1554598800,57,-51.62,-69.22,48.2,13.87
411,Souillac,20,FR,1554601528,93,45.6,-0.6,42.01,2.24
412,Peleduy,0,RU,1554601679,65,59.63,112.75,32.61,3.38
413,Okhotsk,24,RU,1554601679,61,59.36,143.24,42.51,5.39
414,Cururupu,92,BR,1554601680,100,-1.82,-44.87,73.92,2.71
415,Tocopilla,0,CL,1554601680,100,-22.09,-70.2,60.87,1.59
416,Zhigansk,0,RU,1554601680,71,66.77,123.37,32.88,3.38
417,Sananduva,92,BR,1554601680,94,-27.95,-51.81,62.22,7.29
418,Tevaitoa,92,PF,1554601680,96,-16.78,-151.5,85.08,15.01
419,San Cristobal,75,EC,1554601543,82,-0.39,-78.55,59.0,3.36
420,Montecristo,76,CO,1554601681,73,8.3,-74.47,79.32,1.36
421,Crestview,75,US,1554601563,100,30.76,-86.57,71.6,5.82
422,Kaputa,12,ZM,1554601681,94,-8.47,29.66,61.86,1.25
423,Maniitsoq,68,GL,1554601681,79,65.42,-52.9,32.61,15.01
424,Hobyo,0,SO,1554601682,91,5.35,48.53,77.34,7.63
425,Champerico,40,MX,1554598020,43,16.38,-93.6,87.8,5.82
426,Poum,0,MK,1554601682,90,41.28,20.71,31.53,1.7
427,Diplo,0,PK,1554601682,52,24.47,69.59,82.02,12.44
428,Lubumbashi,20,CD,1554601670,91,-11.66,27.48,61.68,3.83
429,Naze,20,NG,1554601682,93,5.43,7.07,74.55,5.17
430,San Quintin,20,PH,1554601683,79,17.54,120.52,84.9,3.71
431,Washim,0,IN,1554601683,27,20.1,77.14,84.81,9.75
432,Rapid Valley,1,US,1554601559,63,44.06,-103.15,60.8,5.82
433,Naduvattam,0,IN,1554601683,65,11.47,76.57,75.81,1.03
434,Mezhdurechensk,88,RU,1554601683,77,53.69,88.07,32.16,5.95
435,Taoudenni,8,ML,1554601683,41,22.68,-3.98,57.18,9.64
436,Thinadhoo,68,MV,1554601684,100,0.53,72.93,83.55,1.14
437,Constantine,20,DZ,1554598800,93,36.36,6.61,37.4,3.6
438,Vega Baja,20,PR,1554601627,65,18.44,-66.39,78.8,11.41
439,Kualakapuas,40,ID,1554598800,88,-3.01,114.39,82.4,5.82
440,Lulea,100,SE,1554600000,92,65.58,22.15,26.6,8.05
441,Mokhsogollokh,0,RU,1554601684,60,61.4,128.95,34.68,7.18
442,Bilibino,0,RU,1554601685,69,68.06,166.44,24.42,3.71
443,Luwuk,76,ID,1554601685,83,-0.95,122.79,85.44,2.15
444,Severo-Kurilsk,92,RU,1554601685,93,50.68,156.12,32.88,20.49
445,Saint-Denis,0,FR,1554601635,71,48.94,2.36,52.0,4.38
446,Jalu,68,LY,1554601686,63,29.03,21.55,60.78,6.96
447,Winnemucca,20,US,1554600690,52,40.97,-117.74,55.4,10.29
448,Ekhabi,88,RU,1554601686,100,53.51,142.97,30.72,13.44
449,Denpasar,40,ID,1554598800,79,-8.65,115.22,84.2,3.36
450,Kholuy,88,RU,1554601686,93,56.58,41.87,29.64,3.15
451,Homer,90,US,1554601620,70,59.64,-151.54,46.4,13.87
452,Arlit,12,NE,1554601687,25,18.74,7.39,72.93,8.41
453,Kilifi,0,KE,1554601687,91,-3.63,39.85,70.86,2.71
454,Seoul,1,KR,1554599400,76,37.57,126.98,55.4,5.82
455,Puerto Escondido,20,MX,1554597600,74,15.86,-97.07,80.6,11.41
456,Valparaiso,1,US,1554601618,67,41.47,-87.06,62.6,4.7
457,Staffanstorp,0,SE,1554601625,70,55.64,13.21,44.01,8.05
458,Chaihe,24,CN,1554601688,55,44.77,129.68,41.52,7.85
459,Sapa,20,PH,1554601685,55,14.32,120.76,91.0,4.7
460,Standerton,92,ZA,1554601595,98,-26.94,29.24,55.0,1.01
461,Clarksville,20,US,1554601401,56,36.53,-87.36,69.8,4.7
462,Kavaratti,24,IN,1554601689,100,10.57,72.64,84.09,8.75
463,Toamasina,40,MG,1554598800,94,-18.17,49.38,75.2,6.93
464,Onokhoy,0,RU,1554598800,49,51.92,108.05,24.8,4.47
465,La Tuque,76,CA,1554601690,84,47.44,-72.79,35.13,6.4
466,Samana,32,EC,1554601690,82,0.12,-76.97,78.06,2.37
467,Batsfjord,56,NO,1554601690,100,70.63,29.72,34.32,19.04
468,Alta Floresta,48,BR,1554601690,94,-9.87,-56.08,74.37,2.15
469,Stephenville,90,US,1554601613,93,32.22,-98.2,66.2,5.82
470,Nsanje,88,MZ,1554601690,85,-16.92,35.26,75.63,6.62
471,Antalaha,24,MG,1554601691,88,-14.9,50.28,77.61,9.19
472,Los Llanos de Aridane,44,ES,1554598800,72,28.66,-17.92,62.6,9.17
473,Westport,44,IE,1554601684,86,53.8,-9.52,45.0,3.49
474,Belawan,88,ID,1554601691,97,-0.59,114.46,77.16,2.48
475,Kidal,0,ML,1554601691,23,18.44,1.41,69.15,9.64
476,Ntcheu,88,MW,1554601691,84,-14.82,34.64,67.08,2.59
477,Tianpeng,0,CN,1554601692,83,28.88,112.34,79.05,7.4
478,Kupang,20,ID,1554598800,66,-10.16,123.6,86.0,2.24
479,Airai,48,TL,1554601692,62,-8.93,125.41,83.1,0.69
480,Elin Pelin,0,BG,1554601569,66,42.67,23.6,48.2,10.29
481,Bontang,8,ID,1554601693,90,0.12,117.47,84.45,5.17
482,Vila do Maio,40,CV,1554598800,73,15.13,-23.22,69.8,17.22
483,Nhamunda,24,BR,1554601693,78,-2.19,-56.71,80.94,3.71
484,Maraa,12,BR,1554601693,92,-1.83,-65.37,78.6,2.59
485,Beringovskiy,64,RU,1554601694,98,63.05,179.32,14.7,26.87
486,Mogadishu,0,SO,1554601624,100,2.04,45.34,82.29,12.66
487,Ocos,40,GT,1554597600,70,14.51,-92.19,84.2,4.7
488,Sao Filipe,0,CV,1554601694,96,14.9,-24.5,70.95,15.01
489,Boende,20,CD,1554601694,99,-0.28,20.88,70.23,2.15
490,Acajutla,36,SV,1554601599,70,13.59,-89.83,78.42,2.71
491,Anzio,75,IT,1554601686,81,41.45,12.63,53.01,5.82
492,Damaturu,8,NG,1554601695,42,11.75,11.96,80.76,12.21
493,Usinsk,20,RU,1554601695,89,66.0,57.56,22.8,10.2
494,Awbari,20,LY,1554601695,50,26.59,12.77,57.99,4.94
495,Alekseyevka,40,RU,1554598800,93,53.25,50.49,41.0,15.66
496,Loandjili,75,CG,1554598800,94,-4.77,11.87,78.8,2.24
497,Presidencia Roque Saenz Pena,0,AR,1554601696,85,-26.79,-60.44,55.29,2.93
498,Ancud,90,CL,1554598800,100,-41.87,-73.83,53.6,9.17
499,Buzdyak,20,RU,1554601696,89,54.57,54.53,31.35,10.09
500,Occhiobello,40,IT,1554601674,100,44.92,11.58,50.0,3.36
501,Chhindwara,0,IN,1554601697,21,22.06,78.94,88.95,10.76
502,Khani,0,GE,1554598800,87,41.96,42.96,50.0,3.36
503,Kapit,20,MY,1554601697,78,2.02,112.94,82.38,2.93
504,Woodstock,75,CA,1554601506,81,43.13,-80.75,52.0,2.24
505,Southampton,32,GB,1554601382,87,50.9,-1.4,46.99,12.75
506,Kuytun,24,RU,1554601697,45,54.34,101.51,35.67,7.96
507,Kuala Pilah,75,MY,1554600600,78,2.74,102.25,82.4,8.05
508,Campbell River,90,CA,1554601569,75,50.02,-125.24,48.2,9.17
509,Monopoli,0,IT,1554601584,93,40.95,17.3,55.0,5.82
510,Black River,20,JM,1554600701,74,18.03,-77.85,80.6,3.36
511,Plouzane,90,FR,1554601687,93,48.38,-4.62,48.99,5.82
512,Sibu,75,MY,1554598800,88,2.29,111.83,82.4,4.7
513,Luganville,92,VU,1554601698,100,-15.51,167.18,78.42,7.74
514,Fare,92,PF,1554601699,96,-16.7,-151.02,85.08,15.01
515,Banda Aceh,64,ID,1554601699,72,5.56,95.32,85.44,1.03
516,Farakka,92,IN,1554601699,99,24.79,87.91,70.86,6.96
517,Parana,88,BR,1554601699,96,-7.52,-72.89,72.3,5.61
518,Palimbang,40,PH,1554601685,62,14.9,120.78,91.0,2.24
519,Santiago del Estero,0,AR,1554601700,73,-27.8,-64.26,56.28,6.4
520,Keetmanshoop,44,NA,1554598800,30,-26.57,18.15,69.8,10.29
521,Ahipara,0,NZ,1554601700,79,-35.17,173.16,64.65,12.66
522,Aneho,20,TG,1554598800,88,6.23,1.6,82.4,11.41
523,Yar-Sale,8,RU,1554601701,81,66.83,70.83,22.98,17.81
524,Margate,75,AU,1554601696,45,-43.03,147.26,66.99,13.87
525,Nur,0,PL,1554601457,65,52.67,22.32,39.99,9.86
526,Supaul,24,IN,1554601701,82,26.12,86.6,73.92,9.19
527,Sampit,0,ID,1554601601,96,-2.54,112.95,86.16,5.17
528,Neiafu,20,TO,1554598800,79,-18.65,-173.98,86.0,10.29
529,Aqtobe,0,KZ,1554598800,92,50.28,57.21,30.2,9.75
530,Rio Tinto,75,BR,1554598800,94,-6.8,-35.08,78.8,1.12
531,Taybad,0,IR,1554601702,92,34.74,60.78,54.03,6.73
532,Hovd,75,NO,1554601501,83,63.83,10.7,41.0,16.11
533,Saint-Louis,75,CH,1554601699,87,47.59,7.56,46.99,3.36
534,Maumere,76,ID,1554601703,100,-8.63,122.22,81.75,8.86
535,Yerbogachen,0,RU,1554601703,62,61.28,108.01,32.88,7.4
536,Sao Felix do Xingu,32,BR,1554601535,96,-6.64,-51.99,74.28,2.26
537,Wuan,0,CN,1554601703,75,31.68,112.0,72.12,5.28
538,Xiaoweizhai,0,CN,1554601703,77,26.23,107.51,67.26,3.6
539,Tsabong,12,BW,1554601704,91,-26.02,22.4,59.16,7.63
540,Boali,40,CF,1554598800,94,4.81,18.11,78.8,4.7
541,Vostok,24,RU,1554601704,57,46.45,135.83,39.45,2.93
542,Castletown,32,GB,1554601702,87,50.57,-2.44,46.99,10.29
543,Grindavik,0,IS,1554601017,100,63.84,-22.43,39.0,5.82
544,Kovdor,92,RU,1554601704,84,67.56,30.47,28.56,2.37
